state,date,sex,ethnicity,annual_birth,annual_death
Perlis,2018-01-01,both,overall,4371,2042
Perlis,2019-01-01,both,overall,4060,1996
Perlis,2020-01-01,both,overall,4101,1950
Perlis,2021-01-01,both,overall,4076,2234
Perlis,2022-01-01,both,overall,3746,2422
Pulau Pinang,2000-01-01,both,overall,27337,7037
Pulau Pinang,2001-01-01,both,overall,24712,7162
Pulau Pinang,2002-01-01,both,overall,24775,7703
Pulau Pinang,2003-01-01,both,overall,23467,7781
Pulau Pinang,2004-01-01,both,overall,22943,7813
Pulau Pinang,2005-01-01,both,overall,22559,7869
Pulau Pinang,2006-01-01,both,overall,22003,7918
Pulau Pinang,2007-01-01,both,overall,22429,8316
Pulau Pinang,2008-01-01,both,overall,22952,8471
Pulau Pinang,2009-01-01,both,overall,22777,8699
Pulau Pinang,2010-01-01,both,overall,21172,9063
Pulau Pinang,2011-01-01,both,overall,22353,9107
Pulau Pinang,2012-01-01,both,overall,23794,9133
Pulau Pinang,2013-01-01,both,overall,21499,9538
Pulau Pinang,2014-01-01,both,overall,22877,9678
Pulau Pinang,2015-01-01,both,overall,22242,10226
Pulau Pinang,2016-01-01,both,overall,21781,10729
Pulau Pinang,2017-01-01,both,overall,21464,10727
Pulau Pinang,2018-01-01,both,overall,20705,11209
Pulau Pinang,2019-01-01,both,overall,20200,10896
Pulau Pinang,2020-01-01,both,overall,19645,10701
Pulau Pinang,2021-01-01,both,overall,18571,13978
Pulau Pinang,2022-01-01,both,overall,17731,12920
Sabah,2000-01-01,both,overall,49308,5203
Sabah,2001-01-01,both,overall,48990,5437
Sabah,2002-01-01,both,overall,46119,5864
Sabah,2003-01-01,both,overall,44388,6061
Sabah,2004-01-01,both,overall,46170,6328
Sabah,2005-01-01,both,overall,47160,6563
Sabah,2006-01-01,both,overall,46142,6702
Sabah,2007-01-01,both,overall,47017,6979
Sabah,2008-01-01,both,overall,50272,7394
Sabah,2009-01-01,both,overall,52782,7565
Sabah,2010-01-01,both,overall,54134,7622
Sabah,2011-01-01,both,overall,54990,8095
Sabah,2012-01-01,both,overall,58185,8066
Sabah,2013-01-01,both,overall,56823,8253
Sabah,2014-01-01,both,overall,57397,12188
Sabah,2015-01-01,both,overall,54699,12511
Sabah,2016-01-01,both,overall,52071,12834
Sabah,2017-01-01,both,overall,52528,13719
Sabah,2018-01-01,both,overall,53025,13940
Sabah,2019-01-01,both,overall,52973,14713
Sabah,2020-01-01,both,overall,49587,14868
Sabah,2021-01-01,both,overall,41608,18873
Sabah,2022-01-01,both,overall,43617,17395
Sarawak,2000-01-01,both,overall,47920,8513
Sarawak,2001-01-01,both,overall,46098,8893
Sarawak,2002-01-01,both,overall,44929,8818
Sarawak,2003-01-01,both,overall,44068,9287
Sarawak,2004-01-01,both,overall,43545,9506
Sarawak,2005-01-01,both,overall,43241,9553
Sarawak,2006-01-01,both,overall,42892,9962
Sarawak,2007-01-01,both,overall,42549,10020
Sarawak,2008-01-01,both,overall,43426,10478
Sarawak,2009-01-01,both,overall,43753,11240
Sarawak,2010-01-01,both,overall,41474,10396
Sarawak,2011-01-01,both,overall,43383,11118
Sarawak,2012-01-01,both,overall,43178,11246
Sarawak,2013-01-01,both,overall,40413,11231
Sarawak,2014-01-01,both,overall,41049,11686
Sarawak,2015-01-01,both,overall,39754,12200
Sarawak,2016-01-01,both,overall,37985,12608
Sarawak,2017-01-01,both,overall,37654,13117
Sarawak,2018-01-01,both,overall,36624,13828
Sarawak,2019-01-01,both,overall,36672,14025
Sarawak,2020-01-01,both,overall,35449,14114
Sarawak,2021-01-01,both,overall,31274,17596
